country,plant_number,continent
United Kingdom,764,Europe
India,540,Asia
Australia,243,Oceania
Japan,231,Asia
Norway,229,Europe
Italy,171,Europe
Vietnam,153,Asia
Chile,151,South America
Sweden,115,Europe
Switzerland,111,Europe
Argentina,110,South America
South Korea,85,Asia
Germany,85,Europe
Iran,81,Asia
Austria,77,Europe
South Africa,70,Africa
Belgium,48,Europe
Turkey,48,Asia
Greece,43,Europe
Philippines,43,Asia
Uruguay,42,South America
Spain,42,Europe
Guatemala,39,North America
Pakistan,36,Asia
Bangladesh,35,Asia
Myanmar,34,Asia
Sri Lanka,34,Asia
Netherlands,33,Europe
Ireland,32,Europe
North Korea,30,Asia
Egypt,30,Africa
Morocco,29,Africa
Tunisia,27,Africa
New Zealand,26,Oceania
Algeria,26,Africa
Malaysia,25,Asia
Israel,22,Asia
Kenya,22,Africa
Russia,21,Europe
Poland,21,Europe
Taiwan,20,Asia
Laos,20,Asia
Iceland,20,Europe
Ecuador,20,South America
Iraq,19,Asia
Sudan,19,Africa
Bolivia,18,South America
Syrian Arab Republic,18,Asia
Bulgaria,18,Europe
Ukraine,18,Europe
Georgia,18,Asia
Czech Republic,17,Europe
Denmark,17,Europe
Belarus,17,Europe
Estonia,16,Europe
Romania,16,Europe
Nicaragua,15,North America
Papua New Guinea,15,Oceania
Uzbekistan,15,Asia
China,15,Asia
Democratic Republic of the Congo,15,Africa
United Arab Emirates,15,Asia
Azerbaijan,14,Asia
Singapore,14,Asia
Zambia,14,Africa
Saudi Arabia,13,Asia
Ethiopia,13,Africa
Hungary,12,Europe
Macedonia,12,Europe
Nigeria,12,Africa
Honduras,12,North America
Fiji,12,Oceania
Nepal,12,Asia
Dominican Republic,12,North America
Libya,12,Africa
Bosnia and Herzegovina,12,Europe
Madagascar,11,Africa
Serbia,11,Europe
Panama,11,North America
Tanzania,11,Africa
Angola,10,Africa
Tajikistan,10,Asia
Rwanda,10,Africa
Finland,10,Europe
Guinea,9,Africa
Oman,9,Asia
Jamaica,9,North America
Thailand,9,Asia
Jordan,8,Asia
Kyrgyzstan,8,Asia
Kuwait,8,Asia
Namibia,8,Africa
Albania,8,Europe
Armenia,8,Asia
El Salvador,8,North America
Peru,7,South America
Kazakhstan,7,Asia
Lebanon,7,Asia
Afghanistan,7,Asia
Yemen,7,Asia
Bahrain,7,Asia
Turkmenistan,7,Asia
Moldova,6,Europe
Mauritius,6,Africa
Cambodia,6,Asia
Cameroon,6,Africa
Trinidad and Tobago,6,North America
Mauritania,6,Africa
Gabon,6,Africa
Lithuania,6,Europe
Senegal,6,Africa
Niger,6,Africa
Uganda,6,Africa
Swaziland,6,Africa
Bhutan,5,Asia
Burkina Faso,5,Africa
French Guiana,5,South America
Malawi,5,Africa
Ghana,5,Africa
Latvia,5,Europe
Guyana,5,South America
Brunei Darussalam,4,Asia
Mali,4,Africa
Togo,3,Africa
Montenegro,3,Europe
Burundi,3,Africa
Equatorial Guinea,3,Africa
Mozambique,3,Africa
Cape Verde,3,Africa
Sierra Leone,3,Africa
Paraguay,3,South America
Central African Republic,2,Africa
Botswana,2,Africa
Liberia,2,Africa
Benin,2,Africa
Gambia,2,Africa
Kosovo,2,Europe
Mongolia,2,Asia
Antarctica,2,Antarctica
Luxembourg,2,Europe
Eritrea,2,Africa
Guinea-Bissau,1,Africa
Zimbabwe,1,Africa
Lesotho,1,Africa
Rhodesia,1,Africa
Western Sahara,1,Africa
Djibouti,1,Africa
