country_long,capacity_mw,latitude,longitude,fuel1
Afghanistan,33.0,32.321999999999996,65.119,Hydro
Afghanistan,66.0,34.556,69.4787,Hydro
Afghanistan,100.0,34.641,69.717,Hydro
Afghanistan,11.55,34.4847,70.3633,Hydro
Afghanistan,42.0,34.5638,69.1134,Gas
Afghanistan,6.0,35.9416,68.71,Hydro
Afghanistan,22.0,34.5865,69.7757,Hydro
Albania,27.0,39.9116,20.1047,Hydro
Albania,500.0,42.2514,20.0431,Hydro
Albania,600.0,42.1033,19.8224,Hydro
Albania,5.0,41.3428,19.8964,Hydro
Albania,24.0,41.6796,19.8305,Hydro
Albania,25.0,41.6796,19.8936,Hydro
Albania,250.0,42.0137,19.6359,Hydro
Albania,98.0,40.4874,19.434,Other
Algeria,520.0,35.8665,6.0262,Gas
Algeria,71.0,36.8924,7.7634,Gas
Algeria,560.0,36.5988,3.1375,Gas
Algeria,100.0,36.5914,2.9223,Gas
Algeria,450.0,36.596,2.878,Gas
Algeria,450.0,35.5658,-0.9386,Gas
Algeria,292.0,35.7666,7.3619,Gas
Algeria,1200.0,36.5767,2.0797,Gas
Algeria,418.0,36.7489,3.0823,Gas
Algeria,72.0,31.6703,6.0531,Gas
Algeria,600.0,31.6703,6.0531,Gas
Algeria,200.0,31.7877,6.0517,Gas
Algeria,492.0,31.8065,5.9924,Gas
Algeria,24.0,36.4739,5.2719,Hydro
Algeria,588.0,36.8139,5.876,Gas
Algeria,345.0,35.8064,-0.2476,Gas
Algeria,1200.0,36.885,8.0778,Gas
Algeria,396.0,34.5056,6.9848,Gas
Algeria,840.0,35.8,-0.1924,Gas
Algeria,184.0,35.8,-0.1924,Gas
Algeria,980.0,35.7071,4.4804,Gas
Algeria,672.0,36.8509,3.6983,Gas
Algeria,73.0,35.7095,-0.6319,Gas
Algeria,465.0,35.7835,0.5407,Gas
Algeria,484.0,36.1399,2.9296,Gas
Algeria,815.0,36.8789,6.9366,Gas
Angola,132.0,-8.8383,13.2344,Gas
Angola,16.26,-12.76,15.75,Oil
Angola,20.0,-12.37,13.57,Gas
Angola,18.5,-8.8383,13.2344,Oil
Angola,10.0,-5.55,12.2,Oil
Angola,40.0,-14.7333,15.0333,Hydro
Angola,11.68,-15.1961,12.1522,Gas
Angola,16.0,-7.3,20.85,Hydro
Angola,11.34,-15.3333,15.0,Oil
Antarctica,6.6,-77.847,166.6605,Oil
Antarctica,1.0,-77.8428,166.7271,Wind
Argentina,479.2,-38.9368,-68.3556,Gas
Argentina,192.0,-38.9368,-68.3556,Gas
Argentina,130.0,-34.5792,-68.9892,Hydro
Argentina,1050.0,-40.58,-70.7489,Hydro
Argentina,25.0,-34.8386,-58.4033,Oil
Argentina,25.0,-38.9524,-68.0218,Gas
Argentina,15.0,-38.9524,-68.0218,Gas
Argentina,25.0,-38.9524,-68.0218,Other
Argentina,17.5,-38.9524,-68.0218,Gas
Argentina,15.0,-38.9524,-68.0218,Other
Argentina,1.9040000000000001,-39.2145,-70.9157,Oil
Argentina,50.7,-33.0452,-69.0516,Hydro
